name,size,duration,elapsed
../audio/2024-09-27-11-24-41_small.wav,    1875.04,     10.00,     0.199
../audio/2024-09-27-11-24-42_small.wav,    2156.29,     11.50,    0.2022
../audio/2024-09-27-11-24-43_large.wav,    2156.29,     11.50,    0.2109
../audio/2024-09-27-11-24-44_large.wav,    2437.54,     13.00,    0.1963
../audio/2024-09-27-11-24-44_small.wav,    2437.54,     13.00,    0.2191
../audio/2024-09-27-11-24-45_small.wav,    2718.79,     14.50,    0.2139
../audio/2024-09-27-11-24-46_large.wav,    2718.79,     14.50,    0.2282
../audio/2024-09-27-11-24-47_large.wav,    3000.04,     16.00,    0.2496
../audio/2024-09-27-11-24-47_small.wav,    3000.04,     16.00,    0.2519
../audio/2024-09-27-11-24-48_small.wav,    3281.29,     17.50,    0.2648
../audio/2024-09-27-11-24-49_large.wav,    3281.29,     17.50,    0.2567
../audio/2024-09-27-12-40-05_small.wav,      93.79,      0.50,    0.1083
../audio/2024-09-27-12-40-06_small.wav,     187.54,      1.00,   0.06976
../audio/2024-09-27-12-40-08_small.wav,     281.29,      1.50,   0.07044
../audio/2024-09-27-12-40-09_small.wav,     375.04,      2.00,   0.08607
../audio/2024-09-27-12-40-10_small.wav,     562.54,      3.00,    0.1238
../audio/2024-09-27-12-40-12_small.wav,     843.79,      4.50,    0.1428
../audio/2024-09-27-12-40-13_small.wav,    1031.29,      5.50,    0.1495
../audio/2024-09-27-12-40-14_small.wav,    1312.54,      7.00,    0.1498
../audio/2024-09-27-12-40-16_small.wav,    1687.54,      9.00,    0.1993
../audio/2024-09-27-12-40-17_small.wav,    1875.04,     10.00,    0.1902
../audio/2024-09-27-12-40-18_large.wav,    1875.04,     10.00,    0.1792
../audio/2024-09-27-12-40-19_small.wav,     375.04,      2.00,   0.09644
../audio/2024-09-27-12-40-20_small.wav,     562.54,      3.00,    0.1261
../audio/2024-09-27-12-40-21_small.wav,     750.04,      4.00,    0.1296
../audio/2024-09-27-12-40-22_small.wav,     937.54,      5.00,    0.1411
../audio/2024-09-27-12-40-23_small.wav,    1125.04,      6.00,    0.1447
../audio/2024-09-27-12-40-24_small.wav,    1312.54,      7.00,    0.2036
../audio/2024-09-27-12-40-25_small.wav,    1500.04,      8.00,    0.1682
../audio/2024-09-27-12-40-26_small.wav,    1687.54,      9.00,    0.1756
../audio/2024-09-27-12-40-27_small.wav,    1875.04,     10.00,    0.1939
../audio/2024-09-27-12-40-28_large.wav,    1875.04,     10.00,    0.2117
../audio/2024-09-27-12-40-29_small.wav,     375.04,      2.00,   0.07213
../audio/2024-09-27-12-40-30_small.wav,     562.54,      3.00,   0.08529
../audio/2024-09-27-12-40-31_small.wav,     750.04,      4.00,   0.07969
../audio/2024-09-27-12-40-32_small.wav,     937.54,      5.00,    0.1393
../audio/2024-09-27-12-40-33_small.wav,    1125.04,      6.00,    0.1625
../audio/2024-09-27-12-40-34_small.wav,    1312.54,      7.00,    0.1609
../audio/2024-09-27-12-40-35_small.wav,    1500.04,      8.00,    0.1798
../audio/2024-09-27-12-40-36_small.wav,    1687.54,      9.00,    0.1734
../audio/2024-09-27-12-40-37_small.wav,    1875.04,     10.00,    0.2297
../audio/2024-09-27-12-40-38_large.wav,    1875.04,     10.00,      0.19
../audio/2024-09-27-12-40-39_small.wav,     375.04,      2.00,    0.1639
../audio/2024-09-27-12-40-40_small.wav,     562.54,      3.00,    0.0852
../audio/2024-09-27-12-40-41_small.wav,     750.04,      4.00,   0.07804
../audio/2024-09-27-12-40-42_small.wav,     937.54,      5.00,   0.08776
../audio/2024-09-27-12-40-43_small.wav,    1125.04,      6.00,   0.08767
../audio/2024-09-27-12-40-44_small.wav,    1312.54,      7.00,   0.08106
../audio/2024-09-27-12-40-45_small.wav,    1500.04,      8.00,   0.08593
../audio/2024-09-27-12-40-46_small.wav,    1687.54,      9.00,   0.08478
../audio/2024-09-27-12-40-47_small.wav,    1875.04,     10.00,    0.0887
../audio/2024-09-27-12-40-48_large.wav,    1875.04,     10.00,   0.09821
../audio/2024-09-27-12-40-49_small.wav,     281.29,      1.50,   0.06686
../audio/2024-09-27-12-40-50_small.wav,     468.79,      2.50,   0.07952
../audio/2024-09-27-12-40-51_small.wav,     656.29,      3.50,   0.07309
../audio/2024-09-27-12-40-52_small.wav,     843.79,      4.50,    0.1161
../audio/2024-09-27-12-40-53_small.wav,    1031.29,      5.50,    0.1451
../audio/2024-09-27-12-40-54_small.wav,    1218.79,      6.50,    0.1273
../audio/2024-09-27-12-40-55_small.wav,    1406.29,      7.50,    0.1342
../audio/2024-09-27-12-40-56_small.wav,    1593.79,      8.50,    0.1295
../audio/2024-09-27-12-40-57_small.wav,    1781.29,      9.50,    0.1448
../audio/2024-09-27-12-40-58_small.wav,    1968.79,     10.50,    0.1512
../audio/2024-09-27-12-40-59_large.wav,    1968.79,     10.50,    0.1456
../audio/2024-09-27-12-41-00_small.wav,     375.04,      2.00,    0.1398
../audio/2024-09-27-12-41-01_small.wav,     562.54,      3.00,    0.1986
../audio/2024-09-27-12-41-02_small.wav,     750.04,      4.00,    0.2699
../audio/2024-09-27-12-41-03_small.wav,     937.54,      5.00,    0.1788
../audio/2024-09-27-12-41-04_small.wav,    1125.04,      6.00,    0.1684
../audio/2024-09-27-12-41-05_small.wav,    1312.54,      7.00,    0.2734
../audio/2024-09-27-12-41-06_small.wav,    1500.04,      8.00,    0.1638
../audio/2024-09-27-12-41-07_small.wav,    1687.54,      9.00,    0.2001
../audio/2024-09-27-12-41-08_large.wav,    1875.04,     10.00,    0.1951
../audio/2024-09-27-12-41-08_small.wav,    1875.04,     10.00,    0.1827
../audio/2024-09-27-12-41-10_small.wav,     375.04,      2.00,   0.08177
../audio/2024-09-27-12-41-11_small.wav,     562.54,      3.00,   0.07502
../audio/2024-09-27-12-41-12_small.wav,     750.04,      4.00,    0.1314
../audio/2024-09-27-12-41-13_small.wav,     937.54,      5.00,    0.1456
../audio/2024-09-27-12-41-14_small.wav,    1125.04,      6.00,    0.1315
../audio/2024-09-27-12-41-15_small.wav,    1312.54,      7.00,    0.1379
../audio/2024-09-27-12-41-16_small.wav,    1500.04,      8.00,    0.1537
../audio/2024-09-27-12-41-17_small.wav,    1687.54,      9.00,    0.1269
../audio/2024-09-27-12-41-18_small.wav,    1875.04,     10.00,    0.1623
../audio/2024-09-27-12-41-19_large.wav,    1875.04,     10.00,    0.1387
../audio/2024-09-27-12-41-20_small.wav,     375.04,      2.00,     0.118
../audio/2024-09-27-12-41-21_small.wav,     562.54,      3.00,    0.1229
../audio/2024-09-27-12-41-22_small.wav,     750.04,      4.00,    0.1336
../audio/2024-09-27-12-41-23_small.wav,     937.54,      5.00,    0.1555
../audio/2024-09-27-12-41-24_small.wav,    1125.04,      6.00,    0.1627
../audio/2024-09-27-12-41-25_small.wav,    1312.54,      7.00,    0.1715
../audio/2024-09-27-12-41-26_small.wav,    1500.04,      8.00,    0.1604
../audio/2024-09-27-12-41-27_small.wav,    1687.54,      9.00,    0.1679
../audio/2024-09-27-12-41-28_large.wav,    1875.04,     10.00,    0.1471
../audio/2024-09-27-12-41-28_small.wav,    1875.04,     10.00,    0.1637
../audio/2024-09-27-12-41-30_small.wav,     375.04,      2.00,   0.08372
../audio/2024-09-27-12-41-31_small.wav,     562.54,      3.00,    0.1233
../audio/2024-09-27-12-41-32_small.wav,     750.04,      4.00,    0.1217
../audio/2024-09-27-13-01-40_small.wav,      93.79,      0.50,   0.07287
../audio/2024-09-27-13-01-43_small.wav,     562.54,      3.00,    0.2262
../audio/2024-09-27-13-01-45_small.wav,     937.54,      5.00,     0.233
../audio/2024-09-27-13-01-46_small.wav,    1125.04,      6.00,    0.1868
../audio/2024-09-27-13-01-47_small.wav,    1406.29,      7.50,    0.1746
../audio/2024-09-27-13-01-48_small.wav,    1593.79,      8.50,    0.2387
../audio/2024-09-27-13-01-49_small.wav,    1781.29,      9.50,    0.2477
../audio/2024-09-27-13-01-50_small.wav,    1968.79,     10.50,    0.2602
../audio/2024-09-27-13-01-51_large.wav,    1968.79,     10.50,    0.2604
../audio/2024-09-27-13-01-53_small.wav,     468.79,      2.50,   0.07988
../audio/2024-09-27-13-01-54_small.wav,     750.04,      4.00,   0.08177
../audio/2024-09-27-13-01-55_small.wav,     774.29,      4.13,   0.08701
../audio/2024-09-27-13-31-26_small.wav,      93.79,      0.50,   0.07212
../audio/2024-09-27-13-31-27_small.wav,     281.29,      1.50,    0.1315
../audio/2024-09-27-13-31-28_small.wav,     468.79,      2.50,    0.1364
../audio/2024-09-27-13-31-30_small.wav,     750.04,      4.00,    0.1545
../audio/2024-09-27-13-31-31_small.wav,    1031.29,      5.50,   0.08338
../audio/2024-09-27-13-31-32_small.wav,    1218.79,      6.50,    0.0813
../audio/2024-09-27-13-31-33_small.wav,    1406.29,      7.50,   0.08261
../audio/2024-09-27-13-31-34_small.wav,    1593.79,      8.50,    0.1395
../audio/2024-09-27-13-31-37_small.wav,    2156.29,     11.50,      0.14
../audio/2024-09-27-13-31-38_large.wav,    2156.29,     11.50,    0.1282
../audio/2024-09-27-13-31-39_small.wav,     375.04,      2.00,    0.1248
../audio/2024-09-27-13-31-40_small.wav,     562.54,      3.00,    0.1366
../audio/2024-09-27-13-31-41_small.wav,     750.04,      4.00,    0.1432
../audio/2024-09-27-13-31-42_small.wav,     937.54,      5.00,    0.1402
../audio/2024-09-27-13-31-43_small.wav,    1125.04,      6.00,    0.1235
../audio/2024-09-27-13-31-44_small.wav,    1312.54,      7.00,    0.1819
../audio/2024-09-27-13-31-45_small.wav,    1500.04,      8.00,    0.1943
../audio/2024-09-27-13-31-46_small.wav,    1687.54,      9.00,    0.2085
../audio/2024-09-27-13-31-47_small.wav,    1875.04,     10.00,    0.1962
../audio/2024-09-27-13-31-48_large.wav,    1875.04,     10.00,    0.2317
../audio/2024-09-27-13-31-50_small.wav,     468.79,      2.50,    0.1287
../audio/2024-09-27-13-31-51_small.wav,     656.29,      3.50,    0.1354
../audio/2024-09-27-13-31-52_small.wav,     843.79,      4.50,    0.1699
../audio/2024-09-27-13-31-53_small.wav,    1031.29,      5.50,    0.1423
../audio/2024-09-27-13-31-54_small.wav,    1218.79,      6.50,    0.1415
../audio/2024-09-27-13-31-55_small.wav,    1406.29,      7.50,    0.1417
../audio/2024-09-27-13-31-56_small.wav,    1593.79,      8.50,    0.1712
../audio/2024-09-27-13-31-57_small.wav,    1781.29,      9.50,    0.1472
../audio/2024-09-27-13-31-58_large.wav,    1968.79,     10.50,      0.16
../audio/2024-09-27-13-31-58_small.wav,    1968.79,     10.50,    0.1584
../audio/2024-09-27-13-32-00_small.wav,     375.04,      2.00,   0.08291
../audio/2024-09-27-13-32-01_small.wav,     562.54,      3.00,   0.08447
../audio/2024-09-27-13-32-02_small.wav,     750.04,      4.00,   0.08051
../audio/2024-09-27-13-32-03_small.wav,     937.54,      5.00,   0.08346
../audio/2024-09-27-13-32-10_large.wav,    2250.04,     12.00,    0.1407
../audio/2024-09-27-13-32-10_small.wav,    2250.04,     12.00,    0.1388
../audio/2024-09-27-13-48-57_small.wav,      93.79,      0.50,    0.0741
../audio/2024-09-27-13-48-58_small.wav,     281.29,      1.50,   0.07354
../audio/2024-09-27-13-48-59_small.wav,     468.79,      2.50,    0.1389
../audio/2024-09-27-13-49-02_small.wav,     937.54,      5.00,     0.165
../audio/2024-09-27-13-49-03_small.wav,    1218.79,      6.50,    0.1609
../audio/2024-09-27-13-49-05_small.wav,    1500.04,      8.00,    0.1905
../audio/2024-09-27-13-49-06_small.wav,    1687.54,      9.00,    0.1839
../audio/2024-09-27-13-49-07_large.wav,    1875.04,     10.00,    0.1998
../audio/2024-09-27-13-49-07_small.wav,    1875.04,     10.00,    0.1745
../audio/2024-09-27-13-49-09_small.wav,     375.04,      2.00,    0.1279
../audio/2024-09-27-13-49-10_small.wav,     562.54,      3.00,    0.1255
../audio/2024-09-27-13-49-11_small.wav,     750.04,      4.00,    0.1355
../audio/2024-09-27-13-49-12_small.wav,     937.54,      5.00,    0.1264
../audio/2024-09-27-13-49-13_small.wav,    1125.04,      6.00,    0.1383
../audio/2024-09-27-13-49-14_small.wav,    1312.54,      7.00,    0.1272
../audio/2024-09-27-13-49-15_small.wav,    1500.04,      8.00,    0.1247
../audio/2024-09-27-13-49-16_small.wav,    1687.54,      9.00,    0.1234
../audio/2024-09-27-13-49-17_large.wav,    1875.04,     10.00,     0.142
../audio/2024-09-27-13-49-17_small.wav,    1875.04,     10.00,    0.1648
../audio/2024-09-27-13-49-19_small.wav,     375.04,      2.00,    0.1356
../audio/2024-09-27-13-49-20_small.wav,     562.54,      3.00,    0.1401
../audio/2024-09-27-13-49-21_small.wav,     750.04,      4.00,    0.1336
../audio/2024-09-27-13-49-22_small.wav,     937.54,      5.00,    0.1269
../audio/2024-09-27-13-49-23_small.wav,    1125.04,      6.00,     0.138
../audio/2024-09-27-13-49-24_small.wav,    1312.54,      7.00,    0.1389
../audio/2024-09-27-13-53-25_small.wav,      93.79,      0.50,   0.06985
../audio/2024-09-27-13-53-27_small.wav,     375.04,      2.00,    0.1595
../audio/2024-09-27-13-53-28_small.wav,     656.29,      3.50,    0.1673
../audio/2024-09-27-13-53-29_small.wav,     843.79,      4.50,    0.1634
../audio/2024-09-27-13-53-31_small.wav,    1125.04,      6.00,    0.2234
../audio/2024-09-27-13-53-32_small.wav,    1312.54,      7.00,    0.2314
../audio/2024-09-27-13-53-33_small.wav,    1593.79,      8.50,    0.2624
../audio/2024-09-27-13-53-34_small.wav,    1781.29,      9.50,    0.2625
../audio/2024-09-27-13-53-35_small.wav,    1968.79,     10.50,     0.263
../audio/2024-09-27-13-53-36_large.wav,    1968.79,     10.50,    0.2654
../audio/2024-09-27-13-53-38_small.wav,     468.79,      2.50,    0.1674
../audio/2024-09-27-13-53-39_small.wav,     656.29,      3.50,    0.1582
../audio/2024-09-27-13-53-40_small.wav,     843.79,      4.50,    0.1575
../audio/2024-09-27-13-53-41_small.wav,    1031.29,      5.50,     0.153
../audio/2024-09-27-13-53-42_small.wav,    1218.79,      6.50,    0.1423
../audio/2024-09-27-13-53-43_small.wav,    1406.29,      7.50,    0.1714
../audio/2024-09-27-13-53-49_small.wav,    1500.04,      8.00,    0.1788
../audio/2024-09-27-13-53-50_small.wav,    1593.79,      8.50,    0.1686
../audio/2024-09-27-13-54-31_small.wav,      93.79,      0.50,   0.06788
../audio/2024-09-27-13-54-35_small.wav,     187.54,      1.00,   0.06812
../audio/2024-09-27-13-54-36_small.wav,     375.04,      2.00,   0.07622
../audio/2024-09-27-13-54-37_small.wav,     562.54,      3.00,    0.1205
../audio/2024-09-27-13-54-39_small.wav,     937.54,      5.00,     0.172
../audio/2024-09-27-13-54-40_small.wav,    1218.79,      6.50,    0.1822
../audio/2024-09-27-13-54-41_small.wav,    1406.29,      7.50,    0.1748
../audio/2024-09-27-13-54-42_small.wav,    1593.79,      8.50,    0.1825
../audio/2024-09-27-13-54-43_small.wav,    1781.29,      9.50,    0.1565
