name,duration,elapsed
../audio/2024-09-27-12-40-08_small.wav,       1.50,   0.01595
../audio/2024-09-27-12-40-09_small.wav,       2.00,   0.02689
../audio/2024-09-27-12-40-10_small.wav,       3.00,   0.02684
../audio/2024-09-27-12-40-12_small.wav,       4.50,   0.03132
../audio/2024-09-27-12-40-13_small.wav,       5.50,    0.0356
../audio/2024-09-27-12-40-14_small.wav,       7.00,    0.0387
../audio/2024-09-27-12-40-16_small.wav,       9.00,    0.0356
../audio/2024-09-27-12-40-17_small.wav,      10.00,   0.03697
../audio/2024-09-27-12-40-18_large.wav,      10.00,   0.03674
../audio/2024-09-27-12-40-19_small.wav,       2.00,   0.01531
../audio/2024-09-27-12-40-20_small.wav,       3.00,   0.01456
../audio/2024-09-27-12-40-21_small.wav,       4.00,   0.02853
../audio/2024-09-27-12-40-22_small.wav,       5.00,   0.03538
../audio/2024-09-27-12-40-23_small.wav,       6.00,   0.03181
../audio/2024-09-27-12-40-24_small.wav,       7.00,    0.0364
../audio/2024-09-27-12-40-25_small.wav,       8.00,   0.03612
../audio/2024-09-27-12-40-26_small.wav,       9.00,   0.03219
../audio/2024-09-27-12-40-27_small.wav,      10.00,   0.03441
../audio/2024-09-27-12-40-28_large.wav,      10.00,   0.03384
../audio/2024-09-27-12-40-29_small.wav,       2.00,   0.01594
../audio/2024-09-27-12-40-30_small.wav,       3.00,    0.0158
../audio/2024-09-27-12-40-31_small.wav,       4.00,    0.0162
../audio/2024-09-27-12-40-32_small.wav,       5.00,   0.03508
../audio/2024-09-27-12-40-33_small.wav,       6.00,   0.02807
../audio/2024-09-27-12-40-34_small.wav,       7.00,   0.03824
../audio/2024-09-27-12-40-35_small.wav,       8.00,   0.03389
../audio/2024-09-27-12-40-36_small.wav,       9.00,   0.03523
../audio/2024-09-27-12-40-37_small.wav,      10.00,   0.03466
../audio/2024-09-27-12-40-38_large.wav,      10.00,   0.04164
../audio/2024-09-27-12-40-39_small.wav,       2.00,   0.01767
../audio/2024-09-27-12-40-40_small.wav,       3.00,   0.01284
../audio/2024-09-27-12-40-41_small.wav,       4.00,   0.01576
../audio/2024-09-27-12-40-42_small.wav,       5.00,   0.01327
../audio/2024-09-27-12-40-43_small.wav,       6.00,   0.01728
../audio/2024-09-27-12-40-44_small.wav,       7.00,   0.01733
../audio/2024-09-27-12-40-45_small.wav,       8.00,   0.01686
../audio/2024-09-27-12-40-46_small.wav,       9.00,   0.01895
../audio/2024-09-27-12-40-47_small.wav,      10.00,    0.0194
../audio/2024-09-27-12-40-48_large.wav,      10.00,   0.01787
../audio/2024-09-27-12-40-49_small.wav,       1.50,   0.01389
../audio/2024-09-27-12-40-50_small.wav,       2.50,  0.006613
../audio/2024-09-27-12-40-51_small.wav,       3.50,   0.01478
../audio/2024-09-27-12-40-52_small.wav,       4.50,   0.03229
