name,duration,elapsed
../audio/2024-09-27-12-40-08_small.wav,       1.50,   0.01081
../audio/2024-09-27-12-40-09_small.wav,       2.00,  0.008871
../audio/2024-09-27-12-40-10_small.wav,       3.00,   0.02105
../audio/2024-09-27-12-40-12_small.wav,       4.50,   0.03702
../audio/2024-09-27-12-40-13_small.wav,       5.50,   0.03986
../audio/2024-09-27-12-40-14_small.wav,       7.00,   0.04982
../audio/2024-09-27-12-40-16_small.wav,       9.00,    0.0641
../audio/2024-09-27-12-40-17_small.wav,      10.00,   0.07019
../audio/2024-09-27-12-40-18_large.wav,      10.00,    0.0618
../audio/2024-09-27-12-40-19_small.wav,       2.00,   0.01814
../audio/2024-09-27-12-40-20_small.wav,       3.00,    0.0208
../audio/2024-09-27-12-40-21_small.wav,       4.00,   0.02976
../audio/2024-09-27-12-40-22_small.wav,       5.00,   0.03714
../audio/2024-09-27-12-40-23_small.wav,       6.00,   0.03716
../audio/2024-09-27-12-40-24_small.wav,       7.00,   0.04624
../audio/2024-09-27-12-40-25_small.wav,       8.00,   0.05198
../audio/2024-09-27-12-40-26_small.wav,       9.00,   0.06198
../audio/2024-09-27-12-40-27_small.wav,      10.00,   0.06802
../audio/2024-09-27-12-40-28_large.wav,      10.00,    0.0678
../audio/2024-09-27-12-40-29_small.wav,       2.00,    0.0176
../audio/2024-09-27-12-40-30_small.wav,       3.00,   0.02155
../audio/2024-09-27-12-40-31_small.wav,       4.00,   0.02986
../audio/2024-09-27-12-40-32_small.wav,       5.00,   0.03542
../audio/2024-09-27-12-40-33_small.wav,       6.00,   0.04975
../audio/2024-09-27-12-40-34_small.wav,       7.00,   0.05317
../audio/2024-09-27-12-40-35_small.wav,       8.00,   0.05164
../audio/2024-09-27-12-40-36_small.wav,       9.00,   0.07296
../audio/2024-09-27-12-40-37_small.wav,      10.00,   0.05997
../audio/2024-09-27-12-40-38_large.wav,      10.00,   0.06995
../audio/2024-09-27-12-40-39_small.wav,       2.00,   0.01581
../audio/2024-09-27-12-40-40_small.wav,       3.00,   0.02139
../audio/2024-09-27-12-40-41_small.wav,       4.00,   0.02659
../audio/2024-09-27-12-40-42_small.wav,       5.00,   0.03408
../audio/2024-09-27-12-40-43_small.wav,       6.00,   0.04143
../audio/2024-09-27-12-40-44_small.wav,       7.00,   0.04065
../audio/2024-09-27-12-40-45_small.wav,       8.00,   0.05127
../audio/2024-09-27-12-40-46_small.wav,       9.00,   0.05953
../audio/2024-09-27-12-40-47_small.wav,      10.00,   0.07034
../audio/2024-09-27-12-40-48_large.wav,      10.00,   0.06492
../audio/2024-09-27-12-40-49_small.wav,       1.50,   0.01299
../audio/2024-09-27-12-40-50_small.wav,       2.50,    0.0183
../audio/2024-09-27-12-40-51_small.wav,       3.50,   0.02417
../audio/2024-09-27-12-40-52_small.wav,       4.50,   0.02627
../audio/2024-09-27-12-40-53_small.wav,       5.50,   0.04397
../audio/2024-09-27-12-40-54_small.wav,       6.50,   0.04033
../audio/2024-09-27-12-40-55_small.wav,       7.50,   0.05849
../audio/2024-09-27-12-40-56_small.wav,       8.50,    0.0587
../audio/2024-09-27-12-40-57_small.wav,       9.50,   0.06253
../audio/2024-09-27-12-40-58_small.wav,      10.50,   0.07269
../audio/2024-09-27-12-40-59_large.wav,      10.50,   0.07039
../audio/2024-09-27-12-41-00_small.wav,       2.00,   0.01485
../audio/2024-09-27-12-41-01_small.wav,       3.00,   0.02097
../audio/2024-09-27-12-41-02_small.wav,       4.00,   0.02913
../audio/2024-09-27-12-41-03_small.wav,       5.00,   0.03436
../audio/2024-09-27-12-41-04_small.wav,       6.00,   0.03249
../audio/2024-09-27-12-41-05_small.wav,       7.00,   0.04699
../audio/2024-09-27-12-41-06_small.wav,       8.00,   0.05631
../audio/2024-09-27-12-41-07_small.wav,       9.00,   0.06478
../audio/2024-09-27-12-41-08_large.wav,      10.00,   0.07425
../audio/2024-09-27-12-41-08_small.wav,      10.00,   0.06988
../audio/2024-09-27-12-41-10_small.wav,       2.00,   0.01668
../audio/2024-09-27-12-41-11_small.wav,       3.00,   0.02288
../audio/2024-09-27-12-41-12_small.wav,       4.00,   0.03015
../audio/2024-09-27-12-41-13_small.wav,       5.00,   0.03481
../audio/2024-09-27-12-41-14_small.wav,       6.00,   0.04477
../audio/2024-09-27-12-41-15_small.wav,       7.00,   0.04997
../audio/2024-09-27-12-41-16_small.wav,       8.00,   0.05154
../audio/2024-09-27-12-41-17_small.wav,       9.00,   0.06078
../audio/2024-09-27-12-41-18_small.wav,      10.00,   0.06325
../audio/2024-09-27-12-41-19_large.wav,      10.00,   0.07003
../audio/2024-09-27-12-41-20_small.wav,       2.00,   0.02517
../audio/2024-09-27-12-41-21_small.wav,       3.00,   0.01899
../audio/2024-09-27-12-41-22_small.wav,       4.00,   0.03439
../audio/2024-09-27-12-41-23_small.wav,       5.00,   0.03998
../audio/2024-09-27-12-41-24_small.wav,       6.00,   0.04472
../audio/2024-09-27-12-41-25_small.wav,       7.00,   0.04643
../audio/2024-09-27-12-41-26_small.wav,       8.00,   0.05774
../audio/2024-09-27-12-41-27_small.wav,       9.00,   0.06501
../audio/2024-09-27-12-41-28_large.wav,      10.00,   0.06571
../audio/2024-09-27-12-41-28_small.wav,      10.00,   0.06987
../audio/2024-09-27-12-41-30_small.wav,       2.00,   0.01716
../audio/2024-09-27-12-41-31_small.wav,       3.00,   0.02163
../audio/2024-09-27-12-41-32_small.wav,       4.00,   0.03067
../audio/2024-09-27-13-01-40_small.wav,       0.50,       0.0
../audio/2024-09-27-13-01-43_small.wav,       3.00,   0.02133
../audio/2024-09-27-13-01-45_small.wav,       5.00,   0.03494
../audio/2024-09-27-13-01-46_small.wav,       6.00,   0.03979
../audio/2024-09-27-13-01-47_small.wav,       7.50,   0.05103
../audio/2024-09-27-13-01-48_small.wav,       8.50,   0.06494
../audio/2024-09-27-13-01-49_small.wav,       9.50,   0.06544
../audio/2024-09-27-13-01-50_small.wav,      10.50,   0.08557
../audio/2024-09-27-13-01-51_large.wav,      10.50,   0.07577
../audio/2024-09-27-13-01-53_small.wav,       2.50,   0.01943
../audio/2024-09-27-13-01-54_small.wav,       4.00,   0.03353
../audio/2024-09-27-13-01-55_small.wav,       4.13,    0.0338
../audio/2024-09-27-13-31-26_small.wav,       0.50,  0.005611
../audio/2024-09-27-13-31-27_small.wav,       1.50,   0.01046
../audio/2024-09-27-13-31-28_small.wav,       2.50,   0.01382
../audio/2024-09-27-13-31-30_small.wav,       4.00,   0.03357
../audio/2024-09-27-13-31-31_small.wav,       5.50,   0.04665
../audio/2024-09-27-13-31-32_small.wav,       6.50,   0.05275
../audio/2024-09-27-13-31-33_small.wav,       7.50,   0.04906
../audio/2024-09-27-13-31-34_small.wav,       8.50,   0.06001
../audio/2024-09-27-13-31-37_small.wav,      11.50,   0.07865
../audio/2024-09-27-13-31-38_large.wav,      11.50,   0.08043
../audio/2024-09-27-13-31-39_small.wav,       2.00,   0.01984
../audio/2024-09-27-13-31-40_small.wav,       3.00,   0.02873
../audio/2024-09-27-13-31-41_small.wav,       4.00,   0.03245
../audio/2024-09-27-13-31-42_small.wav,       5.00,   0.03661
../audio/2024-09-27-13-31-43_small.wav,       6.00,   0.04646
../audio/2024-09-27-13-31-44_small.wav,       7.00,   0.05045
../audio/2024-09-27-13-31-45_small.wav,       8.00,   0.05653
../audio/2024-09-27-13-31-46_small.wav,       9.00,   0.06168
../audio/2024-09-27-13-31-47_small.wav,      10.00,   0.09033
../audio/2024-09-27-13-31-48_large.wav,      10.00,   0.06984
../audio/2024-09-27-13-31-50_small.wav,       2.50,   0.02956
../audio/2024-09-27-13-31-51_small.wav,       3.50,   0.02757
../audio/2024-09-27-13-31-52_small.wav,       4.50,   0.03334
../audio/2024-09-27-13-31-53_small.wav,       5.50,   0.03992
../audio/2024-09-27-13-31-54_small.wav,       6.50,   0.04632
../audio/2024-09-27-13-31-55_small.wav,       7.50,   0.06089
../audio/2024-09-27-13-31-56_small.wav,       8.50,   0.05771
../audio/2024-09-27-13-31-57_small.wav,       9.50,   0.06502
../audio/2024-09-27-13-31-58_large.wav,      10.50,   0.07602
../audio/2024-09-27-13-31-58_small.wav,      10.50,   0.07004
../audio/2024-09-27-13-32-00_small.wav,       2.00,   0.01199
../audio/2024-09-27-13-32-01_small.wav,       3.00,   0.02135
../audio/2024-09-27-13-32-02_small.wav,       4.00,   0.03689
../audio/2024-09-27-13-32-03_small.wav,       5.00,   0.04127
../audio/2024-09-27-13-32-10_large.wav,      12.00,   0.08153
../audio/2024-09-27-13-32-10_small.wav,      12.00,   0.07787
../audio/2024-09-27-13-48-57_small.wav,       0.50,       0.0
../audio/2024-09-27-13-48-58_small.wav,       1.50,   0.01383
../audio/2024-09-27-13-48-59_small.wav,       2.50,   0.01722
../audio/2024-09-27-13-49-02_small.wav,       5.00,   0.03556
../audio/2024-09-27-13-49-03_small.wav,       6.50,   0.05211
../audio/2024-09-27-13-49-05_small.wav,       8.00,   0.05197
../audio/2024-09-27-13-49-06_small.wav,       9.00,   0.06172
../audio/2024-09-27-13-49-07_large.wav,      10.00,   0.05887
../audio/2024-09-27-13-49-07_small.wav,      10.00,   0.07174
